business_id,date,time,hour,minute,second,name
-y5vYOsyL4bSFxeOtQtYbg,['2010-03-30,16:58:17',16,58,17',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-05-29,22:57:32',22,57,32',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-07-03,20:12:49',20,12,49',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-08-08,23:55:51',23,55,51',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-08-15,01:45:22',1,45,22',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-08-19,19:30:45',19,30,45',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-08-19,19:31:47',19,31,47',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-08-22,22:28:27',22,28,27',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-09-04,18:04:53',18,4,53',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-09-04,18:06:00',18,6,00',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-09-30,01:55:33',1,55,33',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-10-22,00:36:31',0,36,31',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-10-22,19:27:48',19,27,48',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-10-24,21:09:15',21,9,15',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-10-29,01:12:45',1,12,45',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-11-15,03:45:31',3,45,31',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-11-23,20:21:15',20,21,15',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-11-30,18:46:00',18,46,00',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-12-10,00:02:37',0,2,37',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-12-18,02:24:06',2,24,06',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-12-28,22:32:37',22,32,37',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-12-31,18:43:10',18,43,10',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2010-12-31,18:44:57',18,44,57',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-02,23:25:31',23,25,31',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-05,17:51:24',17,51,24',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-08,23:21:49',23,21,49',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-08,23:21:53',23,21,53',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-09,21:32:12',21,32,12',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-09,21:32:33',21,32,33',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-01-10,22:40:26',22,40,26',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-12,18:49:44',18,49,44',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-12,18:56:51',18,56,51',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-13,18:20:37',18,20,37',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-15,02:32:33',2,32,33',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-15,02:35:09',2,35,09',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-19,15:46:55',15,46,55',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-25,20:08:07',20,8,07',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-25,21:18:48',21,18,48',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-02-26,04:02:53',4,2,53',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-05,18:05:19',18,5,19',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-05,18:05:28',18,5,28',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-05,21:17:01',21,17,01',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-07,22:23:22',22,23,22',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-19,18:15:52',18,15,52',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-19,18:53:28',18,53,28',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-24,19:04:22',19,4,22',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-30,20:24:15',20,24,15',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-03-30,20:56:10',20,56,10',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-03,19:59:44',19,59,44',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-03,20:20:24',20,20,24',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-03,20:21:46',20,21,46',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-09,06:49:30',6,49,30',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-09,07:08:54',7,8,54',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-09,20:54:32',20,54,32',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-09,20:55:14',20,55,14',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-13,17:31:33',17,31,33',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-15,20:41:05',20,41,05',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-18,23:24:23',23,24,23',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-20,18:39:56',18,39,56',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-22,00:23:58',0,23,58',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-23,23:00:02',23,0,02',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-24,04:35:23',4,35,23',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-25,19:53:23',19,53,23',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-27,22:46:34',22,46,34',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-27,22:50:02',22,50,02',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-04-28,02:26:27',2,26,27',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-05-01,02:54:20',2,54,20',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-05-03,19:32:42',19,32,42',AJ's Fine Foods
-y5vYOsyL4bSFxeOtQtYbg,'2011-05-04,01:11:46',1,11,46',AJ's Fine Foods
